author,comment,replied_to
@minhuyenn27,Fact!! ❤🎉,@ThuyNguyen-ot1lc
@quangluuthanh9562,"If after the war we did not have to continue the war with China and were not embargoed by the US, Vietnam would certainly have developed a lot more",
@HuongTran-cb3jk,"My mom works at Women’s Union and VN just encourages 2-children, we never had one-child policy as stated in this video. The slogan in 2010s is literally“Regardless of boy or girl, two is enough” 🎉",
@processv,❤❤,@HuongTran-cb3jk
@bangluu3141,no way! 6.1% is a made-up number from the communist party of Vietnam. We all know that we should never trust any communist there is in this world. Vietnam is full of corruption and the people are so focused on putting all their money away in real estate which produces nothing. Real estate here is the top priority and most people dont care about manufacturing or servicing. Saying Vietnam's economy has the potential to become rich is a total flaw.,
@dumaland5701,Nope,
@TS-JungleMonkey,"""You can take monkeys out of the jungle but NOT the jungle out of the monkeys""",
@TS-JungleMonkey,Vietnam still can't produce sewing needles and even the small screws inside the Samsung phones they assembled there. What a joke. LOL,
@Gmlscf,越南的电力大部分依靠我们提供，只要中国断电，越南不会有什么经济奇迹。至于印度，如果过度惹恼中国，我们只需要在西藏修几个水库或者修引水渠道，你们下游的人就会苦不堪言,
@vanphan9318,"Thôi đi mày ơi , nghe mày nói mà tao muốn cười lăn ra đất . Đúng là ếch ngôi đáy giếng , đọc những thông tin nhảm nhí giả mạo và ảo tưởng của mày làm buồn cười quá 😂🤣🤣🤣🤣🙏",@Gmlscf
@xieangpengseth,别对自己太妄想，越南进口的电力只占中国的1%，而且主要供应越南北部。如果断电，根本不会影响越南。,@Gmlscf
@samrobertstraveler,I've spent plenty of time in Vietnam. And the answer is no: the culture is nowhere near disciplined or ready for development. Sorry commies.,
@TS-JungleMonkey,"""You can take monkeys out of the jungle but NOT the jungle out of the monkeys""",@samrobertstraveler
@SsSs-dn4gg,"Not fun fact : The man at 5:07 was our General Secretary, he just passed away on 19th July, he is really a hero who resolutely confronted corruption. A leader could be said to leave a lot of love in people's hearts during times of peace, no exaggeration",
@TS-JungleMonkey,"His replacement was the guy who was in-famous for eating ""Beef Wrapped in Gold Leaf"" in Salt Bae UK. His salary was only $1500 USD per month. Somehow, he still claims that he WAS NOT receiving bribes as the head of the Police force in Vietnam. What a joke of the whole VC government. ROFL.",@SsSs-dn4gg
@LocHoang-u2x,"No, he was a coward.  He did not dare to contest a general election against any non-communist parties.",@SsSs-dn4gg
@pitproper6641,"I just need PHO and BANH MI. in a span of another 100yrs pretty sure most us alive right now are all done..😅😅 so, dont waste time reading my comments.. Have fun be healthy and avoid BS...",
@HungNguyen-dt8nl,"If you want to know how well the Vietnamese live, just go to the country side. In 2024, people still struggle to make ends meet. The only people who are well off are the communist party members, the rest of the country are still very poor.",
@namvovan7165,"This comment is false. I agree that there are still some remote areas, people are still in difficulties. But in general, everyone's life is much better than it was 10 years ago, maybe not rich but not poor. Moreover, not everyone in the Communist Party is rich, don't make such inflammatory statements. Not good 😡",@HungNguyen-dt8nl
@HungNguyen-dt8nl,"@@namvovan7165 = the average Vietnamese worker make less than 400 U.S dollars per month. The price of 
Pork, beef, chicken, milk , rice is equal or more to the U.S  price and the average U.S worker makes more than 10 times.
A Toyota Corolla cost 20,000 U.S dollars in the U.S, in VIET NAM it cost 60,000 U. S dollars.
You my friend do not have any idea how hard the life of an average Vietnamese people. 
Before the commy took over the country 1975, the life of an average Vietnamese people was much better than now, ( yes, 49 years ago)
If you don’t believe me, Google it ( SOUTH VIETNAM BEFORE 1975) and see for yourself.",@HungNguyen-dt8nl
@angkhoanguyen6114,"​@@HungNguyen-dt8nlPlease, the countryside are doing very well. In fact, they live better than the cityfolk because they have better house, easier access to food, and strong domestic market. The government of Vietnam developed both the countryside and the urban.",@HungNguyen-dt8nl
@angkhoanguyen6114,"​@@HungNguyen-dt8nlAn exile like you who never returned to Vietnam, doesn't even know how Vietnam developed right now. South Vietnam before 1975 had an economy worse than the North especially after US withdrawal.",@HungNguyen-dt8nl
@angkhoanguyen6114,​​@@HungNguyen-dt8nlA false regime that can't even sustain by it's own can nevet survive. Vietnam today is capable of thriving by itself without US aid like South Korea and Japan.,@HungNguyen-dt8nl
@phuonghuynh-kc4cq,I've just realized that our country hasn't united for 50 years but its financial growth is outstanding,
@angkhoanguyen6114,"Our country only start developing less than 30 years, therefore it's a miracle.",@phuonghuynh-kc4cq
@LocHoang-u2x,I have just realized that GDP per capita of communist Vitnam is still only 3000 dollars.  Congratulations!,@phuonghuynh-kc4cq
@Number-cm1xg,"Vietnam's single-party system, where leaders are chosen by the Communist Party, starkly contrasts with U.S. democratic values. Trump and his VP, J.D. Vance, prioritize protecting American jobs, potentially clashing with Vietnam's political environment. The Ukraine-Russia war, with China's support for Russia, further strains relations. Vietnam's neutrality in this conflict and differing values could lead to significant trade reductions if a right-wing U.S. administration wins the election. The U.S. will likely support countries with aligned values like Taiwan, Singapore, Indonesia, the Philippines, and India. Consequently, Vietnam may face serious challenges in securing U.S. support.",
@angkhoanguyen6114,"Vietnam doesn't need US support to become rich, only to make sure US wouldn't do anything harmful to Vietnam.",@Number-cm1xg
@parrotbrand2782,Vietnam is efficient and hardworking,
@processv,❤❤❤❤,@parrotbrand2782
@proximacentaur1654,"Great video. Better than many I've seen attempting concise economic analysis of Vietnam. Vietnam is uniquely placed to flourish, with the right strategy.",
@tonysoviet3692,"Many channels gloss over the reform, so here's a quick insight for Doi Moi in 1986 (2:10): Privatization and market activities had became the norms by the 1980s. Officially, there's no market, but you can technically created private firms through cooperatives (Hợp tác xã). Black markets were rampaging through Cambodia and Laos, not to mention the long coastline which makes it difficult for border control. The Government decided Vietnam cannot be like China (too small of a domestic market for a special ""communism"" ideology, too geographically open to be like North Korea or Cuba), so they officially announced Doi Moi to bring forth privatization so they can actually earn taxes. A key insight is that Le Duan, the hardline Communist who was actually believed to be the main leader instead of Ho Chi Minh during the Vietnam - American war, also died in 1986.",
@LocHoang-u2x,"Hi tony,
Stay in communist soviet union.  You do not have anything to contribute to Vitnam.",@tonysoviet3692
@KhoiNguyen-p7w,"Khi bạn hiển thị bản đồ Việt Nam, bạn đã không hiển thị Hoàng Sa và Trường Sa của Việt Nam trên biển Đông. Mong bạn hiểu❤",
@processv,❤❤❤,@KhoiNguyen-p7w
@tranngochuan9068,"Thank you so much for your sharing. I love Vietnam. I am Vietnamese and I have been studying in Germany for almost 5 years. Personally, I think Vietnamese need to learn hard and work hard. It is difficult to become rich without added value on production, good education, and strong government.",
@angkhoanguyen6114,"All of the values you said, Vietnam is pursuing them very well.",@tranngochuan9068
@tranngochuan9068,"@@angkhoanguyen6114 Thanks for replying. I hope so. But I still concern about the policy and administrative. The success of one nation or organization is highly depends on the good policy. Vietnam still follow communism where we dont have other group to control power of leader leading curruotion easily. I know it takes time. We are vietnamese so we have to improve ourself first, then we can support for own country. Đừng hỏi tổ quốc đã làm gì cho ta, mà tự hỏi là làm gì cho tổ quốc hôm nay!",@tranngochuan9068
@angkhoanguyen6114,@@tranngochuan9068 You're right. Right now our regime is not perfect and made mistakes but at least they are fixing them and taking matters seriously. I'm sure Vietnam is in the right path right now.,@tranngochuan9068
@LocHoang-u2x,And do you think a country can become rich if it is a communist dictatorship like Vitnam?,@tranngochuan9068
@processv,❤❤❤,@tranngochuan9068
@Justalittleguy-hb4ei,No w,
@palnagok1720,Vietnam doesn't have a population replacement problem like Korea at 0.8 children per woman and closely followed by japan,
@DuyLongNguyenLe,"I truly enjoy your video, which provides information about Vietnam's economy and development. However, I expect that your video will respect our national territory by putting the HoangSa and TruongSa Islands on the Vietnam map that you have displayed in the video.
Sincerely.",
@johnmaris1582,The bar for Vietnam as a success story is so low.,
@LocHoang-u2x,So pathetically low.,@johnmaris1582
@hellothisisme2010,Can you elaborate?,@johnmaris1582
@truly206,"My grandma carried her family's weight on her back by the time she arrived on American soil. She worked into her 70s to send money back to her home land Vietnam. 
She got her American citizenship and died last year after a stroke. However, her hard work and dedication built an empire both in America and in Vietnam over the decades. 
That is many stories in the Vietnamese culture. Torn by war, a lot work hard as hell to send money back home because they are stuck in the trauma mindset of constant war. 50 years later that money has helped the Vietnamese economy grow into a super power because the Vietnamese American educated their own and give back.
it's in their nature to be philanthropics.",
@tomacaroni,"It’s rather in their nature to support the family. In times where everyone was poor and hungry, the only thing you could count on was family. That’s why there’s a saying in Vietnam like nothing is above the family. Even if family members scam you nowadays, it’s hard to exclude a family member. So it could be a good thing, but also a bad thing.",@truly206
@LocHoang-u2x,"Vitnamese economy is not a super power.  It is as weak as hell because if it is truly a super power, why would you still stay in the US and not come back to live in communist Vitnam.
Your late grandma might be a hard worker but she was a fool for sending money back to feet and keep alive the coomunist dictatorship going in Vitnam.
She did not build any empire.  Stop the bad habit of using hyperbole language.",@truly206
@neetvader,🤡 worm cả dtt thì phát triển cả giàu hộ 😭,
@huyvuvan131,"HỒ CHÍ MINH MUÔN NĂM ❤
VIỆT NAM MUÔN NĂM ❤",
@ckck5923,Agree Adorable,
@XXISimplicityXXI,"My mother was 25 when the Vietnam war ended. She grew up in post-war Vietnam in a family with 8 brothers and sisters. As the eldest child, she had to leave school and started work to help in taking care of her siblings. They were poverty stricken for many of those years. Government ration for the South were meager back then. Everyone was an entrepreneur back then learning how to take the lowest cost material and finding ways to make a profit in order to live. I was told I grew up on rice water, not milk. With her barehand, she afforded not one, but many of my cousins the privledge of going to schools and college. Of course, they complained about how strict she was, but everyone knew back then that without an education, they would amount to little. It took over 30 years, but now our family owned the biggest renovated house on the block and with multiple income sources from not only abroad but from the children she raised and put to school. Even in her 70s, now she is still working and sending money back to Vietnam for her family.",
@dewittdantebooker9897,No. lol,
@TuongbaotranPhan,"A very useful video, thank you so much as an Vietnamese.",
@TS-JungleMonkey,Saigon was richer than South Korea before 1975 and the VC brought them back to ZERO after 1975. ZERO is very low starting point and SAIGON's GDP is many many times more than the REST of Vietnam but they are only allowed to keep a small amount of tax for its infrastructure development. Ie they are still being robbed by the VC.,
@angkhoanguyen6114,"Saigon wasn't richer than Seoul, South Vietnam at the end of the war had the GDP per capita lower than the rest of Southeast Asia, and total GDP lower than North Vietnam. Why? Because South Vietnam cannot operate without US aid, they failed to even start producing even the most simple industry. The three stripes can only eat, not cook, therefore they failed.",@TS-JungleMonkey
@TS-JungleMonkey,@@angkhoanguyen6114Why did your VC rob ALL the rice from the South along with ALL South Vietnamese assets to bring back to feed Red Cows in the North?,@TS-JungleMonkey
@TS-JungleMonkey,@@angkhoanguyen6114 The VC could not even produce one AK47 let alone anything else? Where did you think the weapons came from? I did not know VC monkeys can produce anything in the jungle.,@TS-JungleMonkey
@TS-JungleMonkey,"@@angkhoanguyen6114 You are correct that AFTER 1975, Saigon was dragged down to starvation after the VC government STOLE EVERYTHING in the SOUTH and they relied on Viet Kieu sending back supplies and money from the WEST. GOT IT?",@TS-JungleMonkey
@angkhoanguyen6114,"@@TS-JungleMonkey The rice grew in the North then feed to the Northerners, grew in the South then feed to the Southerners. You 3/// always accuse others of everything you did.",@TS-JungleMonkey
@kingshow1222,"Vietnam is still poor and will remain poor if it maintains a dictatorial communist party. You can compare Korea and North Korea, Taiwan and China and you will see clearly, they all speak the same language but their wealth and poverty are completely different... Because one side follows capitalism and the other communist party.",
@angkhoanguyen6114,"Thanks to US invasion and embargo and constant wars with China. But then what? Vietnam still prosper after these conflicts, sooner of later Vietnam will become as rich or richer than South Korea and Japan.",@kingshow1222
@Thailand-l6y,"​@@angkhoanguyen6114Your country is still poorer than Japan, South Korea, Thailand 😂😂😂😂😂😂",@kingshow1222
@Thailand-l6y,​@@angkhoanguyen6114 Poor vietnam 🤣🤣,@kingshow1222
@angkhoanguyen6114,@Thailand-l6y  The poorer is speaking! 🤣🤣🤣🤣,@kingshow1222
@angkhoanguyen6114,"@Thailand-l6y  Thailand is the poorest among them, not poorer than even Vietnam despite only developed it's own economy for less than 20 years. 🤣🤣🤣",@kingshow1222
@HoliviWotsa,One of my fav country..people are humble n efficient,
@vnh8922,The communist party is what holding this country back. They will let you grow but as soon you get big then they intervene because they want a part of your pie.  If the communist didn't take over vietnam then the economy would become like South Korea and Japan right now.,
@khanhhung8959,"The only communist countries in south east asi are vietnam and laos. Why don't other countries like thailand, Philippines, Malaysia, Indonesia became korea or japan too? Are vietnamese so superior compared to thai, pinoy, Indonesian that they need the communist party to hold them back?",@vnh8922
@TS-JungleMonkey,"@@khanhhung8959 Their VC government believe that their ""system"" is the BEST in the world and any Vietnamese who says otherwise WILL be punished and jailed. They would be charged with being a separatist and trouble maker and jailed even for pointing out corrupt  VC officials.",@vnh8922
@angkhoanguyen6114,"​@@TS-JungleMonkeyAt least they are far moree effective and business-oriented than the useless Republic of Vietnam, who cannot even making money by itself.",@vnh8922
@angkhoanguyen6114,"​@@TS-JungleMonkeyStill trying to deny your weakness and downfall, traitor?",@vnh8922
@TS-JungleMonkey,@@angkhoanguyen6114 Which country does Vietnam export the MOST? Have you eaten your Ca Ro Cay with Bo Bo and taken your medication?,@vnh8922
@trueviet,lol 50% of vietnam gdp are being sent from overseas for last 20 years or so,
@angkhoanguyen6114,"Lol the three stripes are still claiming they helped Vietnam while it was the mainland people who built by it own. The money sent to Vietnam wasn't even belong to these exiles. And please, those money was only took 1% of Vietnam total GDP.",@trueviet
@phungthinh9447,câu ' những nước giàu có hầu hết đều là nước tư bản ' còn thiếu . những nước đó đa số là những nước phát xít đi chiếm tài nguyên với chuẩn .,
@edgychico9311,But the people in Vietnam are still poor except they stabilize it.,
@KitoAkari1612,"There are poor people everywhere, dood. We are just glad that we are way better than the post-war era",@edgychico9311
@angkhoanguyen6114,"US have more poor and homeless than Vietnam, even percent counting.",@edgychico9311
@sexedu4you473,"@@KitoAkari1612 how do you define rich? Lol! While the Vietnamese embraces their lives, doing their best to enjoy their lives, you guys sit here at a corner of the internet anonymously bashing Vietnamese people for nothing. If rich is this? I would prefer to be poor, rather than being uneducated!!",@edgychico9311
@imjustaguypassingthrough6260,"we are poor ,but were happy",@edgychico9311
@angkhoanguyen6114,@@edgychico9311 We are neither rich or poor. At least we live better thsn the average American people!,@edgychico9311
@boratlion8613,"So long as Europeans and North Americans decline, it’s time these countries get a break,. Just don’t end up like China Japan Korea and Taiwan where money went up, feminism went up and now all these countries are in decline, and their women are all insufferable and arrogant. Poor men.",
@KitoAkari1612,"“Feminism went up”
“Poor men”
Sounds like a bitter rant of a man who can’t find job in his country and chooses to blame women instead of his skill issue.",@boratlion8613
@gcschoo,"When a country is poor, there are poor problems.
Even when the country is doing well, they will have different set of problems.
So, I am more positive on the Vietnam economy after seeing how they grew consistently over the last 25 years (not without limitation & challenges)",
@TS-JungleMonkey,Saigon was richer than South Korea before 1975 and the VC brought them back to ZERO after 1975. ZERO is very low starting point and SAIGON's GDP is many many times more than the REST of Vietnam but they are only allowed to keep a small amount of tax for its infrastructure development. Ie they are still being robbed by the VC.,@gcschoo
@anonimofied,Vietnam is becoming poor again now,
@angkhoanguyen6114,"Lol, Vietnam just recently achieved high GDP growth and received another high investment, and you called that poor?",@anonimofied
@nvy1114,"You used the wrong map (no Hoang Sa and Truong Sa islands), please check and fix it",
@processv,❤❤❤,@nvy1114
@simonyang-pe3ux,"it seems that Vietnam mock every step Which China has taken before, but these 2 countries are in the different development stage. so this strategy doesnt work for Vietnam at least for now.",
@angkhoanguyen6114,"Vietnam model take more in similarity with Japan and Germany alongside South Korea, therefore it still work.",@simonyang-pe3ux
@AnnieT369,It was poor because of being blown to rubble by uncle Sam.,
@AnnieT369,It was poor only because of Uncle Sam.,
@Việt.Nam.Phiêu.Lưu.Ký,"No? 😂 truly false. Wrong. 😂 why? Because no one focusing on their Environment problems yet. A rich country doesnt mean everyone driving Bentley or Lamborghini or wearing Louis Vuitton. 😂 if those ""Rich"" people start to take their money out to fix those environments problems around Việt Nam? That when you can see are they really rich?",
@angkhoanguyen6114,"Lol the US are far more professional in these fields, yet they never received persecution like in Vietnam, that alone tell us about effectiveness between these countries. 😂😂😂😂",@Việt.Nam.Phiêu.Lưu.Ký
@Việt.Nam.Phiêu.Lưu.Ký,"@angkhoanguyen6114  lolz right by moving all dirty and bullshiet industries to Vietnam, china, india, africa, brazil, Indonesia and everywhere else where they can pay less for more products and materials. Yes. The U.S and their allies are the best at talking bullshiet and making profit from buy cheap products from other countries and sell them for higher price at their own countries and by pass those environmental problems in those countries because ohhhh its not our problems. Not our countries. And totally forgot. We are on the same freaking planet. Professionally walk away from troubles that they created and avoid all consequences by saying:"" it wasnt us, we just buying those products only"". Yeah?",@Việt.Nam.Phiêu.Lưu.Ký
@Thailand-l6y,​@@angkhoanguyen6114 Poor vietnam 😂,@Việt.Nam.Phiêu.Lưu.Ký
@angkhoanguyen6114,@Thailand-l6y  poor Thailand 🤣🤣🤣,@Việt.Nam.Phiêu.Lưu.Ký
@Thailand-l6y,@angkhoanguyen6114   Poornam GDP per capita 4000$ 🤭🤭🤭,@Việt.Nam.Phiêu.Lưu.Ký
@RichardLe-r9x,❤❤❤🇻🇳🇻🇳🇻🇳🏆🏆❤️❤️motherlands,
@Freep-m2l,Vietnamese love the Japanese way and many engineers after graduation go work in Japan companies for knowledge to bring back home.  Viets don't look up to China like Laos and Cambodia do.,
@angkhoanguyen6114,Vietnamese doesn't like Japanese toxic work culture and xenophobia.,@Freep-m2l
@PhongLe-pp3en,Các nc tư bản giàu có chỉ tập trung tài sản ở một bộ phận nhỏ của các nhà tài phiệt còn vn tuy còn nghèo nhg người dân đc hưởng nhiều quyền lợi mà các nc tư bản ko có đc người dân các nc giàu tuy thu nhập cao nhg chi phí phí sinh hoạt đắt đỏ nên đa số phải đi thuê nhà còn vn thì ko,
@hoata2827,"1975 🇻🇳 🆚  🇺🇸 

2024 🇻🇳 ❤  🇺🇸",
@gatismusic,Why the thumbnail look like you are trying to strike us with multiple enemy,
@good_vibes_only.204,I'm vietnamese I want to be rich ❤,
@daclachoang368,Only if they get rid of one party rule in Vietnam. That's when the vietnamese people can freely criticize the leaders that are not capable to lead,
@KitoAkari1612,Most of the people who criticize the governments here are either uneducated or bitter.,@daclachoang368
@fuckyacommie,It’s ridiculous to think Vietnam would be rich and developed nation under the red socialism!!!,
@paolosantiago3163,I really hope all the best for this beautiful Southeast Asian country of Vietnam 🇻🇳🇻🇳 coming from the Philippines. ❤😊,
@peterhotv,New Fake👎👎👎👎,
@meiej2601,I remember the US trade embargo against Vietnam from 1975 - 1994...,
@manfromthemar,Not only US but also UN,@meiej2601
@LocHoang-u2x,"What do you remember about it, son?",@meiej2601
@meiej2601,"​@@LocHoang-u2x son? LOL You don't know anything, do you?",@meiej2601
@Bebetterup,"The starting point for economic development and growth of countries in the SEA region is completely different from Vietnam. In 1975, some countries became rich thanks to the Vietnam War. On the contrary, Vietnam started its economic development from negative numbers. The entire economic infrastructure was devastated and faced difficulties due to the prolonged international embargo, and until this day, under such conditions, no country has been able to revive its economy and With the current position, only Vietnam can do it. And that is truly a source of pride and a model for countries from the 3rd world to become successful.",
@LocHoang-u2x,"Are there any more excuses for your pathetic communist country, comrade Hetchim?",@Bebetterup
@LuânTrầnMinh-h7s,❤,@Bebetterup
@kienho8981,"Khen trc chê sau, phần cuối còn thêm ít hàng lậu, phê phán nền chính trị VN và tâng bốc tư bản lên. Èm, xem có chọn lọc là đc, ko phải họ nói gì cũng auto đúng đâu",
@hilwaamanamankiyar-pp5bf,THREE,
@robertwang7825,The poorest country has rich ppl  n the richest country has homeless poor ppl. Vietnam is China 15 yrs ago.,
@kimtran-wf9uv,"I'm sorry but vietnamese here, idk what you're talking about when you said Viet Nam's tackling poverty and the cities are ""bright and bustling"", I work a 12h shift job with a 3h overtime each day and barely make end's meet at the end of the month, the company I work for ""arranged"" shared rental rooms that are 4x4 at the minimum, with crumbling walls, no ventilation and no fire extinguishing equipment, the only entrance and exist was a small gap between the rooms which was PACKED with motorcycles and junks, not to mention there was an open sewer inside the complex, the plumbing barely worked, there was a cockroach infestation and this was in District 10, one of the better districts in living standards. The vast majority of my coworkers at the time were addicted gamblers, owning tens of millions VND because of their online gambling. Worst of all was the managers, which refuse to pay employees when the time is due, plus them being shady about salary days, originally they said new employees get to borrow 100k VND a day the first month that'd be taken from their paycheck and by the 1st of each month they'd be paid 2m VND beforehand. However, they refused to pay my 2mVND citing that I've exceeded the borrowing limit of 2m, despite them never told anything about the maximum amount of money I can borrow, and have been refusing to pay me ever since even though I've quit

And this isn't just me, alot of grab drivers on the streets you see actually are college graduates with no way to find job for the majors they've studied for, most of them live in horrible condition similar to my own, sometime even worse

Corruption, gang violence and smuggling aee all common in Viet Nam, ESPECIALLY in the goverment, soldiers would have their monthly payment cut by HALF by the first few months, normally they would fished up dead, decaying fish to be cooked and served up as daily meal, officers would ask for money to buy ""new equipments"" despite the equipments from previous year were still viable, or ""fee for kitchen fuel"" despite they were collecting unwated firewoods from the local, and assaults both verbally and physcially are COMMON in the military, even to death in some cases. Officers would deliberately mess up the training schedule to ""meet the quota"" which lead to dozens of cases of injuries and hospitalizations, I witness 4 separare occasions. Drug and contrabands like cigarettes being smuggled and used days and nights, there was an active smuggling route right in front of my base camp running day and night, I saw no less than 10 man sized packages full of cigarettes being transported pass our guard post by the daily. There were at least 2 drug dealers in my platoon alone, one of them have had run ins with police in the pass and the vast majority of them are heavy smoker and gangsters, with two separate incident of chaotic brawl happened when I was in service, with DOZENS of other incidents ranging anywhere from abandoning posts during guard duty, unauthorised consumptions of alcohol, and a mass desertion where nearly a third of the company snuck out to the local karaoke, that was not including the other individual flounderingz in my company alone

So I don't know what the hell you're talking about",
@colacokebottle1,"Ok? But they have a good crops, 😂",@kimtran-wf9uv
@colacokebottle1,"Why complain, if you can't leave.",@kimtran-wf9uv
@colacokebottle1,Idioy,@kimtran-wf9uv
@kimtran-wf9uv,"@@colacokebottle1 no, we don't",@kimtran-wf9uv
@kimtran-wf9uv,"@@colacokebottle1 because the vast majority of people here and abroad have no clue what living in Viet Nam as an average person would be, and I can't stand the ""huhduh Viet Nam guud"" narrative",@kimtran-wf9uv
@TinNongTheGioi-ex9es,GOOD MORNING VIETNAM..,
@HuyHoang-qy1dq,Where are two Vietnam Islands at the East Ocean on the map in this video ? It's pretty sensitive but it's the truth that have been confirmed by International Course. It's really disrespectful when you not showing that 2 VN islands on the map.,
@NghiaNguyen-mm4vo,We consider those who left the country when we at the lowest point after the war: cowards,
@HoritaHorita,Fr,@NghiaNguyen-mm4vo
@DangVivian,There are a lot of opinions mentioned above by cowards living in California. They betrayed and abandoned our country and now they come back to judge and criticize our country while they know nothing😂,@NghiaNguyen-mm4vo
@LocHoang-u2x,"If you are so brave, then why are you so scared of contesting a general election against them?",@NghiaNguyen-mm4vo
@HoritaHorita,@@LocHoang-u2x because they and america government deny it,@NghiaNguyen-mm4vo
@HoritaHorita,@@LocHoang-u2x America already khow they stand no chance again Ho Chi Minh,@NghiaNguyen-mm4vo
@minhtrinh3646,"As a Vietnamese, we only have less than 50 years independence, roughly 30 years to work at growing the country, we're just late, super late.",
@processv,❤❤❤❤,@minhtrinh3646
@nguyentrongvanviet,"nah :)) all of this are just fake. Of course changes have happened and you can experience it from your first sight. However almost all of the production and profits which naturally belongs to residence were being stolen day by day. A crime of 10% GDP by Truong My Lan :)) , who know if anyone else like this still exist. Politicician is just trash can of dirty money by extracting law and go under the table. Improve , nah , improve in pockets of politician and criminal",
@HoritaHorita,"Vietnam is doing there anti corruption really well if you dont trust it then , you can see there are many many more people go to jail cause being greedy in government system is mean anti corruption is doing well, of course there still crime out there waiting for justice to found and end them , late is better than do nothing tho",@nguyentrongvanviet
@thanhphucnguyen8436,"Very information, thank you",
@ng_th_datt,The analyze in this video was too positive,
@cobenguoihue8067,"At 3:06, this video didn't show Vietnam's two islands Hoang Sa and Truong Sa on the map.",
@LocHoang-u2x,Because your communist government has not taken communist China to court to claim those islands.,@cobenguoihue8067
@Riuder890,"Nah,Vietnam now isn’t a Socialist because “NEW ECONOMIC POLICY (NEP)”, The capitalist free market is under state management, while state-owned socialized enterprises can operate on a profit basis, And a lot of IMPORTANT DISEASES, FORMS, DISEASES AND ETHNICISM IN VIETNAM",
@HoritaHorita,"Vietnam is still a communist country by their government, but the economy is nearly capital. i mean that not a big deal tho because is help vietnam richer",@Riuder890
@Riuder890,"@@HoritaHorita Commmunist? So in your opinion, what is communist?",@Riuder890
@Riuder890,@@HoritaHorita Communist ≠ Socialist,@Riuder890
@Riuder890,"@@HoritaHorita i think Vietnam is red capitalism ,my man",@Riuder890
@HoritaHorita,@@Riuder890 communist and socialism is pretty much the same but if you want then ye is not the same,@Riuder890
@maituananh1135,"I’m Vietnam
🎉",
@2804Freedom,Vietnam is a beautiful country with friendly people and a rich culture.,
@duonghoang4700,Hi im from Vietnamese,@2804Freedom
@processv,❤❤❤❤,@2804Freedom
@Dinhtuvu02,"In reality, Vietnam is located in Southeast Asia, but its people carry an East Asian mindset, similar to China and Japan. Vietnam's leadership is demonstrating a correct path of development. I believe in the not-too-distant future, Vietnam will become a developed country.",
@LocHoang-u2x,Stop your communist propaganda and go to work instead of stealing money from the hard-working Vietnamese people.,@Dinhtuvu02
@processv,❤❤❤❤,@Dinhtuvu02
@宁北-c1f,"Yeah, I also like Vietnam. Their culture is the most similar to China’s, plus they even look like East Asians.",@Dinhtuvu02
@Alyaaaaacat,@@宁北-c1flol😂,@Dinhtuvu02
@FT__Bicycling_____-sc7yv,Too much corruption,
@thonassvn1024,Not as much as south america or old south vietnam,@FT__Bicycling_____-sc7yv
@FT__Bicycling_____-sc7yv,"@@thonassvn1024 ok sure, whatever.

 Current VN corruption is still highly prohibitive of development.",@FT__Bicycling_____-sc7yv
@HoritaHorita,"But we are doing anti corruption rn so you can see the result , there alot of people has to go to jail.. i mean late is better thatn do nothing",@FT__Bicycling_____-sc7yv
@FT__Bicycling_____-sc7yv,@@HoritaHorita Yeah it's good to try. Far better than doing nothing. But unfortunately those kind of efforts usually fail. Send some to jail and others come in to do their own stealing. The problem is now that corruption is a normal practice and in many specific cases not even recognized as being unethical.,@FT__Bicycling_____-sc7yv
@ethandouro4334,"Greetings from Brazil to Vietnam, hope you guys don't follow the same path as us during the early 2010s and manage to overcome corruption, poverty, inequality and urbanist problems we both have 🇧🇷❤️🇻🇳",
@NiteshKumar-ue1yp,"One of the few channels that show the correct map of India. Thank you ❤❤
Will like, share and subscribe",
@amol9560,True,@NiteshKumar-ue1yp
@tomv2144,"Vietnam lost 30 years because of communist mismanagement. Then, there is the problem of communist-influenced culture that sets Vietnam backward. There is a realistic video about Vietnam GNI per capita, showing Vietnam is far behind. https://www.youtube.com/watch?v=CTIwfjGXkgw",
@johnnyhoang3969,In my entire life (11 years) I have never  seen a homeless person in vietnam,
@ngocanhle5078,"As a Vietnamese hailed from Hanoi, I think that Vietnam has dealed with economic growth and maintaining communism. VN economy can't fully reach its own potentials under a communist system.",
@yto1773,không phải vậy😥,
@LucasMarodindepaiva,A country that grows without absurd debt,
@HoangQuanNguyen-g9d,"This video correctly pointed out 2 problems Vietnam needs to solve in order to grow faster. And they are not easy solutions to solve:
1. Aging population: Vietnam needs to encourage people to give birth more. Vietnam should increase tax to have more money supporting children and families.
2. Low productivity: We need to be aggressive in improving our education system, focusing on basic knowledge, discipline, in-dept skills, and to have English/Chinese languages studied as early as possible (at 3rd grade).",
@derrickthai9472,And WTF we need to learn Chinese language for are you fu@king kidding?,@HoangQuanNguyen-g9d
@LocHoang-u2x,Vitnam has only one very big problem standing in the way of becoming a rich country: The extremely corrupt and extremely stupid communist party.  The most corrupt and the biggest idiots in Vitnam today are the communists.,@HoangQuanNguyen-g9d
